id,combo,source NP,premise,hypothesis,label
1,pri-pri,a possible future outcome,This is a possible future outcome.,This is a possible outcome.,entailment
2,pri-pri,a plastic toy car,This is a plastic toy car.,This is a toy car.,entailment
3,pri-pri,a burned fake banknote,This is a burned fake banknote.,This is a fake banknote.,entailment
4,pri-pri,an almost impossible job,This is an almost impossible job.,This is a job.,entailment
5,pri-int,a figurative quoted expression,This is a figurative quoted expression.,This is a quoted expression.,entailment
6,pri-int,a broken glass window,This is a broken glass window.,This is a glass window.,entailment
7,pri-int,a virtual private network service,This is a virtual private network service.,This is a private network service.,entailment
8,int-pri,a bright counterfeit light,This is a bright counterfeit light.,This is a bright light.,entailment
9,int-pri,a handmade empty glass,This is a handmade empty glass.,This is a handmade glass.,entailment
10,int-pri,a white paper book,This is a white paper book.,This is a white book.,entailment
11,sub-pri,a big fake painting,This is a big fake painting.,This is a big painting.,entailment
12,sub-pri,a big toy box,This is a big toy box.,This is a big box.,entailment
13,sub-pri,a good initial impression,This is a good initial impression.,This is a good impression.,entailment
14,sub-pri,a big stone wall,This is a big stone wall.,This is a big wall.,entailment
15,sub-pri,a sweet empty dream,This is a sweet empty dream.,This is a sweet dream.,entailment
16,sub-pri,a long stone bridge,This is a long stone bridge.,This is a long bridge.,entailment
17,sub-int,the second green ball,This is the second green ball.,This is a green ball.,entailment
18,sub-int,the second green ball,This is the second green ball.,This is a green ball.,entailment
19,pri-sub,an alleged antique vase,This is an alleged antique vase.,This is a vase.,entailment
20,pri-sub,an alleged antique vase,This is an alleged antique vase.,This is a vase.,entailment
21,pri-sub,a previous long chapter,This is a previous long chapter.,This is a previous chapter.,entailment
22,pri-sub,a previous long chapter,This is a previous long chapter.,This is a long chapter.,entailment
23,pri-sub,a previous long chapter,This is a previous long chapter.,This is a chapter.,entailment
24,sub-int,a popular female singer,She is a popular female singer.,She is a female singer.,entailment
25,sub-int,bright red hair,She has bright red hair.,She has hair.,entailment
26,pri-sub,possible deep structural damage,This is possible deep structural damage.,This is possible structural damage.,entailment
27,sub-sub,boring old news,This is boring old news.,This is boring news.,entailment
28,pri-sub,its previous official deadline,This is its previous official deadline.,This is its previous deadline.,entailment
29,sub-sub,one new preferred share,This is one new preferred share.,This is one new share.,entailment
30,sub-int,recent natural disasters,These are recent natural disasters.,These are recent disasters.,entailment
31,sub-int,big European banks,Those are big European banks.,Those are European banks.,entailment
32,int-sub,a Swedish central statistics agency,This is a Swedish central statistics agency.,This is a statistics agency.,entailment
33,sub-int,his old square box,This is his old square box.,This is his old box.,entailment
34,sub-pri,a national military drill,This is a national military drill.,This is a military drill.,entailment
35,pri-sub,the phony cheap gimmicks,These are the phony cheap gimmicks.,These are the phony gimmicks.,entailment
36,pri-sub,some so-called high-quality junk issues,Those are some so-called high-quality junk issues.,Those are some junk issues.,entailment
37,pri-sub,an overrated hit song,This is an overrated hit song.,This is an overrated song.,entailment
38,sub-int,new yellow curtains,Those are new yellow curtains.,Those are curtains.,entailment
39,sub-sub,Quebecor's second big printing acquisition,This is Quebecor's second big printing acquisition.,This is a big printing acquisition.,entailment
40,sub-sub,small attractive hotels,Those are small attractive hotels.,Those are hotels.,entailment
41,int-pri,an original unofficial vote count,This is an original unofficial vote count.,This is an unofficial vote count.,entailment
42,sub-pri,a national experimental project,This is a national experimental project.,This is an experimental project.,entailment
43,pri-sub,an imaginary powerful enemy,He is an imaginary powerful enemy.,He is an imaginary enemy.,entailment
44,sub-pri,low initial ratings,Those are low initial ratings.,Those are initial ratings.,entailment
45,sub-sub,good new products,Those are good new products.,Those are new products.,entailment
46,sub-int,the fourth Swedish winner,This is the fourth Swedish winner.,This is the Swedish winner.,entailment
47,pri-sub,the mock common admission test,This is the mock common admission test.,This is the mock admission test.,entailment
48,sub-sub,grand old firms,Those are grand old firms.,Those are firms.,entailment
49,pri-sub,a retired federal lawyer,He is a retired federal lawyer.,He is a retired lawyer.,entailment
50,sub-pri,many failed mergers,Those are many failed mergers.,Those are failed mergers.,entailment
51,sub-sub,a small quiet crowd,This is a small quiet crowd.,This is a quiet crowd.,entailment
52,pri-int,a so-called American expert,She is a so-called American expert.,She is a so-called expert.,entailment
53,sub-int,the big red button,This is the big red button.,This is the red button.,entailment
54,pri-sub,its presumed specific principles,These are its presumed specific principles.,These are its presumed principles.,entailment
55,pri-sub,a fictional modern monarchy,This is a fictional modern monarchy.,This is a fictional monarchy.,entailment
56,sub-int,its fourth consecutive gold medal,This is its fourth consecutive gold medal.,This is its consecutive gold medal.,entailment
57,sub-int,an attractive blond girl,She is an attractive blond girl.,She is a girl.,entailment
58,sub-sub,new preferred stock,This is new preferred stock.,This is preferred stock.,entailment
59,pri-sub,a presumed negative effect,This is a presumed negative effect.,This is a presumed effect.,entailment
60,sub-int,the fourth Swedish winner,This is the fourth Swedish winner.,This is the winner.,entailment
61,sub-int,new yellow curtains,Those are new yellow curtains.,Those are new curtains.,entailment
62,pri-sub,a presumed regional leader,He is a presumed regional leader.,He is a presumed leader.,entailment
63,sub-int,a big black plume,This is a big black plume.,This is a black plume.,entailment
64,pri-sub,a hypothetical independent candidate,She is a hypothetical independent candidate.,She is a hypothetical candidate.,entailment
65,pri-sub,a predicted hot condition,This is a predicted hot condition.,This is a condition.,entailment
66,sub-pri,a low expected return,This is a low expected return.,This is an expected return.,entailment
67,sub-int,a small gray elephant,It is a small gray elephant.,It is a gray elephant.,entailment
68,int-int,a depressed doctoral student,This is a depressed doctoral student.,This is a doctoral student.,entailment
